name,actual,predicted

stand1,28913,36503.0


stand1,28913,40602.0


stand1,28913,36592.0


stand1,28913,39761.0


stand1,28913,36629.0


stand1,28913,40508.0


stand1,28913,38317.0


stand1,28913,36168.0


stand1,28913,38941.0


stand1,28913,36079.0


stand1,28913,39843.0


stand1,28913,36439.0


stand1,28913,35954.0


stand1,28913,39159.0


stand1,28913,35597.0


stand1,28913,39002.0


stand1,28913,39444.0


stand1,28913,36841.0


stand1,28913,37646.0


stand1,28913,39290.0


stand1,28913,40307.0


stand1,28913,34504.0


stand1,28913,38062.0


stand1,28913,36334.0


stand1,28913,37143.0


stand1,28913,37659.0


stand1,28913,37725.0


stand1,28913,40670.0


stand1,28913,39789.0


stand1,28913,38514.0


stand1,28913,36536.0


stand1,28913,37386.0


stand1,28913,40025.0


stand1,28913,38436.0


stand1,28913,38311.0


stand1,28913,42240.0


stand1,28913,40719.0


stand1,28913,37804.0


stand1,28913,39402.0


stand1,28913,41460.0


stand1,28913,40196.0


stand1,28913,36147.0


stand1,28913,37592.0


stand1,28913,37308.0


stand1,28913,40066.0


stand1,28913,40552.0


stand1,28913,35560.0


stand1,28913,38001.0


stand1,28913,39597.0


stand1,28913,39196.0


stand1,28913,40463.0


stand1,28913,39639.0


stand1,28913,39226.0


stand1,28913,40594.0


stand1,28913,38789.0


stand1,28913,41006.0


stand1,28913,34874.0


stand1,28913,39355.0


stand1,28913,37707.0


stand1,28913,36201.0


stand1,28913,37632.0


stand1,28913,35959.0


stand1,28913,39274.0


stand1,28913,39627.0


stand1,28913,36639.0


stand1,28913,41873.0


stand1,28913,36942.0


stand1,28913,41222.0


stand1,28913,37259.0


stand1,28913,38605.0


stand1,28913,37386.0


stand1,28913,34962.0


stand1,28913,36962.0


stand1,28913,39329.0


stand1,28913,35699.0


stand1,28913,39808.0


stand1,28913,38274.0


stand1,28913,36931.0


stand1,28913,36346.0


stand1,28913,39673.0


stand1,28913,36557.0


stand1,28913,35975.0


stand1,28913,35985.0


stand1,28913,36180.0


stand1,28913,38477.0


stand1,28913,37249.0


stand1,28913,37397.0


stand1,28913,37349.0


stand1,28913,39246.0


stand1,28913,37654.0


stand1,28913,35788.0


stand1,28913,39260.0


stand1,28913,36113.0


stand1,28913,42986.0


stand1,28913,40556.0


stand1,28913,35943.0


stand1,28913,36882.0


stand1,28913,37864.0


stand1,28913,39808.0


stand1,28913,37657.0


stand1,28913,39338.0


stand1,28913,37716.0


stand1,28913,40037.0


stand1,28913,35942.0


stand1,28913,35285.0


stand1,28913,38639.0


stand1,28913,38511.0


stand1,28913,37115.0


stand1,28913,36104.0


stand1,28913,37522.0


stand1,28913,40147.0


stand1,28913,40614.0


stand1,28913,36015.0


stand1,28913,40483.0


stand1,28913,39578.0


stand1,28913,37573.0


stand1,28913,36148.0


stand1,28913,37548.0


stand1,28913,37220.0


stand1,28913,36768.0


stand1,28913,35564.0


stand1,28913,37232.0


stand1,28913,37113.0


stand1,28913,39022.0


stand1,28913,38951.0


stand1,28913,39087.0


stand1,28913,34165.0


stand1,28913,39289.0


stand1,28913,38207.0


stand1,28913,39406.0


stand1,28913,38545.0


stand1,28913,34064.0


stand1,28913,36434.0


stand1,28913,39224.0


stand1,28913,40109.0


stand1,28913,39814.0


stand1,28913,40043.0


stand1,28913,37516.0


stand1,28913,39227.0


stand1,28913,36314.0


stand1,28913,36857.0


stand1,28913,40618.0


stand1,28913,38829.0


stand1,28913,39170.0


stand1,28913,36208.0


stand1,28913,37245.0


stand1,28913,35552.0


stand1,28913,35340.0


stand1,28913,40064.0


stand1,28913,37301.0


stand1,28913,35954.0


stand1,28913,39316.0


stand1,28913,38050.0


stand1,28913,38990.0


stand1,28913,41420.0


stand1,28913,37976.0


stand1,28913,35023.0


stand1,28913,40588.0


stand1,28913,35532.0


stand1,28913,35796.0


stand1,28913,37085.0


stand1,28913,39761.0


stand1,28913,39085.0


stand1,28913,36794.0


stand1,28913,37571.0


stand1,28913,36567.0


stand1,28913,36906.0


stand1,28913,40089.0


stand1,28913,37720.0


stand1,28913,36301.0


stand1,28913,39858.0


stand1,28913,36751.0


stand1,28913,38689.0


stand1,28913,37070.0


stand1,28913,34578.0


stand1,28913,37948.0


stand1,28913,37168.0


stand1,28913,35382.0


stand1,28913,39602.0


stand1,28913,37822.0


stand1,28913,36097.0


stand1,28913,37520.0


stand1,28913,39333.0


stand1,28913,38888.0


stand1,28913,37994.0


stand1,28913,37909.0


stand1,28913,38466.0


stand1,28913,39441.0


stand1,28913,35522.0


stand1,28913,36427.0


stand1,28913,38688.0


stand1,28913,39957.0


stand1,28913,33814.0


stand1,28913,40247.0


stand1,28913,42158.0


stand1,28913,40611.0


stand1,28913,35630.0


stand1,28913,37413.0


stand1,28913,36916.0


stand1,28913,37841.0


stand2,16141,18946.0


stand2,16141,16639.0


stand2,16141,19703.0


stand2,16141,18984.0


stand2,16141,17815.0


stand2,16141,13850.0


stand2,16141,13245.0


stand2,16141,17447.0


stand2,16141,17219.0


stand2,16141,16811.0


stand2,16141,18191.0


stand2,16141,15451.0


stand2,16141,16128.0


stand2,16141,18075.0


stand2,16141,18926.0


stand2,16141,15873.0


stand2,16141,12660.0


stand2,16141,14163.0


stand2,16141,19610.0


stand2,16141,17031.0


stand2,16141,13762.0


stand2,16141,20674.0


stand2,16141,20814.0


stand2,16141,16520.0


stand2,16141,18771.0


stand2,16141,18645.0


stand2,16141,12583.0


stand2,16141,18059.0


stand2,16141,17859.0


stand2,16141,14169.0


stand2,16141,13946.0


stand2,16141,18839.0


stand2,16141,17933.0


stand2,16141,16873.0


stand2,16141,18668.0


stand2,16141,18247.0


stand2,16141,17735.0


stand2,16141,17414.0


stand2,16141,18957.0


stand2,16141,18972.0


stand2,16141,20100.0


stand2,16141,18692.0


stand2,16141,19719.0


stand2,16141,16154.0


stand2,16141,17184.0


stand2,16141,18306.0


stand2,16141,16692.0


stand2,16141,16098.0


stand2,16141,12799.0


stand2,16141,20170.0


stand2,16141,13494.0


stand2,16141,18999.0


stand2,16141,19341.0


stand2,16141,13871.0


stand2,16141,18611.0


stand2,16141,13152.0


stand2,16141,18534.0


stand2,16141,13504.0


stand2,16141,18246.0


stand2,16141,17529.0


stand2,16141,18148.0


stand2,16141,18247.0


stand2,16141,20763.0


stand2,16141,20094.0


stand2,16141,15965.0


stand2,16141,16152.0


stand2,16141,18882.0


stand2,16141,18540.0


stand2,16141,20794.0


stand2,16141,19728.0


stand2,16141,13745.0


stand2,16141,19279.0


stand2,16141,19302.0


stand2,16141,20045.0


stand2,16141,11943.0


stand2,16141,20005.0


stand2,16141,17687.0


stand2,16141,20882.0


stand2,16141,16063.0


stand2,16141,16661.0


stand2,16141,19140.0


stand2,16141,17998.0


stand2,16141,16344.0


stand2,16141,17981.0


stand2,16141,19660.0


stand2,16141,17877.0


stand2,16141,18014.0


stand2,16141,19217.0


stand2,16141,18640.0


stand2,16141,20688.0


stand2,16141,18078.0


stand2,16141,20042.0


stand2,16141,19585.0


stand2,16141,19893.0


stand2,16141,17869.0


stand2,16141,17903.0


stand2,16141,12665.0


stand2,16141,15946.0


stand2,16141,15461.0


stand2,16141,17056.0


stand2,16141,15758.0


stand2,16141,16469.0


stand2,16141,15072.0


stand2,16141,13390.0


stand2,16141,17171.0


stand2,16141,17393.0


stand2,16141,19555.0


stand2,16141,18021.0


stand2,16141,19201.0


stand2,16141,18444.0


stand2,16141,18469.0


stand2,16141,17256.0


stand2,16141,19197.0


stand2,16141,17176.0


stand2,16141,17312.0


stand2,16141,15761.0


stand2,16141,17510.0


stand2,16141,18449.0


stand2,16141,14252.0


stand2,16141,12429.0


stand2,16141,16217.0


stand2,16141,18267.0


stand2,16141,16946.0


stand2,16141,12597.0


stand2,16141,16574.0


stand2,16141,17775.0


stand2,16141,13802.0


stand2,16141,12681.0


stand2,16141,16147.0


stand2,16141,19936.0


stand2,16141,19649.0


stand2,16141,19415.0


stand2,16141,18572.0


stand2,16141,20157.0


stand2,16141,19021.0


stand2,16141,17774.0


stand2,16141,14813.0


stand2,16141,17950.0


stand2,16141,12499.0


stand2,16141,18346.0


stand2,16141,19172.0


stand2,16141,21728.0


stand2,16141,18695.0


stand2,16141,17536.0


stand2,16141,19002.0


stand2,16141,12582.0


stand2,16141,17656.0


stand2,16141,18756.0


stand2,16141,13758.0


stand2,16141,17067.0


stand2,16141,18433.0


stand2,16141,19723.0


stand2,16141,16726.0


stand2,16141,21018.0


stand2,16141,20645.0


stand2,16141,18758.0


stand2,16141,16057.0


stand2,16141,19373.0


stand2,16141,19135.0


stand2,16141,19867.0


stand2,16141,21437.0


stand2,16141,18380.0


stand2,16141,17834.0


stand2,16141,19256.0


stand2,16141,14431.0


stand2,16141,15716.0


stand2,16141,19161.0


stand2,16141,19314.0


stand2,16141,17417.0


stand2,16141,16328.0


stand2,16141,17576.0


stand2,16141,18727.0


stand2,16141,21824.0


stand2,16141,16938.0


stand2,16141,17901.0


stand2,16141,13457.0


stand2,16141,13602.0


stand2,16141,16822.0


stand2,16141,18461.0


stand2,16141,18793.0


stand2,16141,17195.0


stand2,16141,16464.0


stand2,16141,15823.0


stand2,16141,17886.0


stand2,16141,17696.0


stand2,16141,19933.0


stand2,16141,14805.0


stand2,16141,17334.0


stand2,16141,17595.0


stand2,16141,16579.0


stand2,16141,17484.0


stand2,16141,18554.0


stand2,16141,20122.0


stand2,16141,17906.0


stand2,16141,18587.0


stand2,16141,17460.0


stand2,16141,18151.0


stand2,16141,16642.0


stand2,16141,18392.0


stand2,16141,18816.0


