name,stand_wkt_dummy,coord_mill_dummy,landing_coords_dummy,acres,elev,PartialCut,slope,skid_distance,RemovalsCT,TreeVolCT,RemovalsSLT,TreeVolSLT,RemovalsLLT,TreeVolLLT,HdwdFractionCT,HdwdFractionSLT,HdwdFractionLLT,haulDist,haulTime,actual_cost
stand1,dummy,dummy,dummy,3.5,505,0,45|55,1000|1200,0,0,339|359,12|16,20|22,240|265,0,0,0,55|65,100|115,28913
stand2,dummy,dummy,dummy,2.5,481,0,35|45,600|800,0,0,260|300,10|14,16|20,200|340,0,0,0,55|65,100|115,16141
