name,actual,predicted

stand1,28913,37084.0


stand1,28913,37628.0


stand1,28913,40847.0


stand1,28913,36512.0


stand1,28913,35581.0


stand1,28913,35854.0


stand1,28913,37934.0


stand1,28913,36619.0


stand1,28913,37505.0


stand1,28913,35299.0


stand1,28913,38510.0


stand1,28913,37393.0


stand1,28913,39148.0


stand1,28913,37951.0


stand1,28913,37283.0


stand1,28913,40979.0


stand1,28913,34614.0


stand1,28913,37342.0


stand1,28913,38108.0


stand1,28913,39399.0


stand1,28913,41275.0


stand1,28913,38450.0


stand1,28913,37304.0


stand1,28913,39699.0


stand1,28913,36114.0


stand1,28913,37524.0


stand1,28913,37168.0


stand1,28913,37683.0


stand1,28913,38369.0


stand1,28913,39477.0


stand1,28913,39739.0


stand1,28913,35940.0


stand1,28913,37356.0


stand1,28913,39668.0


stand1,28913,35661.0


stand1,28913,36545.0


stand1,28913,39380.0


stand1,28913,38154.0


stand1,28913,35621.0


stand1,28913,37592.0


stand1,28913,39153.0


stand1,28913,37014.0


stand1,28913,38969.0


stand1,28913,38854.0


stand1,28913,40998.0


stand1,28913,39835.0


stand1,28913,36526.0


stand1,28913,38280.0


stand1,28913,37304.0


stand1,28913,36184.0


stand1,28913,34455.0


stand1,28913,41930.0


stand1,28913,37974.0


stand1,28913,39848.0


stand1,28913,36847.0


stand1,28913,37567.0


stand1,28913,39733.0


stand1,28913,36708.0


stand1,28913,36102.0


stand1,28913,39459.0


stand1,28913,36304.0


stand1,28913,38468.0


stand1,28913,36149.0


stand1,28913,40770.0


stand1,28913,38503.0


stand1,28913,37665.0


stand1,28913,34706.0


stand1,28913,40765.0


stand1,28913,41251.0


stand1,28913,37639.0


stand1,28913,41430.0


stand1,28913,37519.0


stand1,28913,36389.0


stand1,28913,37724.0


stand1,28913,36017.0


stand1,28913,39089.0


stand1,28913,36190.0


stand1,28913,39492.0


